FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"1690",Conakry,GIN-CNK,Conakry,GV,Guinea,National and provincial capital,"1879695","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-1521959.924","1068057.983","1,660,973","2014","1","7","5",5.40,inland
"1688",Boffa,GIN-BOF,Boffa,GV,Guinea,Provincial capital,"0","0",,,"-1563259.231","1139808.11","8,631","2014","0","1","40",31.62,coast
"288",Hamilton,BMU,Bermuda,BD,Bermuda,National and provincial capital,"854","7","Less than 50,000",UN_Data_2010_2020,"-7211183.623","3801310.39","854","2016","1","7","5",0.00,coast
"15",La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,"2143000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-7586005.249","-1862583.584","3,022,566","2024","1","2","30",68.82,inland
"1487",Dili,TLS,Timor Leste,TT,Timor Leste,National capital,"222323","5","100,000 to 249,999",UN_Data_2010_2020,"13979612.57","-957697.5731","267,623","2022","1","2","30",4.71,coast
"2039",Bratislava,SVK-BRS,Bratislava,LO,Slovakia,National capital and provincial capital enclave,"431214","4","250,000 to 499,999",UN_Data_2010_2020,"1906902.592","6131845.861","478,040","2023","1","2","30",547.70,inland
"2138",Riga,LVA,Latvia,LG,Latvia,National capital,"632614","3","500,000 to 999,999",UN_Data_2010_2020,"2677233.566","7735631.17","620,974","2021","1","1","40",29.36,coast
"2382",Lusaka,ZMB-LUS,Lusaka,ZA,Zambia,National and provincial capital,"1747152","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3135870.089","-1738805.993","2,212,301","2022","1","2","30",724.10,inland
"2",Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,"2481272","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-5331952.879","-1780660.511","2817381","2022","1","2","30",964.40,inland
"165",Fortaleza,BRA-CEA,Ceara,BR,Brazil,Provincial capital,"2452185","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-4295708.116","-421427.6123","3,424,978","2022","0","2","30",12.84,coast
"1559",Basse-Terre,GLP,Guadeloupe,GP,Guadeloupe,National and provincial capital,"0","0",,,"-6871113.047","1805292.075","9,779","2021","1","1","40",0.00,coast
"2216",Tehran,IRN-TER,Tehran,IR,Iran,National and provincial capital,"8693706","1","5,000,000 and greater",UN_Data_2010_2020,"5727164.754","4269568.654","8,693,706","2016","1","1","40",140.00,inland
"2268",Rasht,IRN-GIL,Gilan,IR,Iran,Provincial capital,"679995","3","500,000 to 999,999",UN_Data_2010_2020,"5520667.21","4477368.538","679,995","2016","0","1","40",30.06,coast
"2241",Riyadh,SAU-ARI,Ar Riyad,SA,Saudi Arabia,National and provincial capital,"5188286","1","5,000,000 and greater",UN_Data_2010_2020,"5206412.954","2832815.975","6,924,566","2022","1","1","40",403.60,inland
"861",Jeddah,SAU-MKK,Makkah,SA,Saudi Arabia,Other,"3430697","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4360718.894","2456744.936","3,712,917","2022","0","2","30",8.28,coast
"1475",West Island,CCK,Cocos Is.,CK,Cocos Is.,National and provincial capital,"0","0",,,"10778629.63","-1363641.934","147","2021","1","7","5",0.00,coast
"286",George Town,CYM,Cayman Is.,CJ,Cayman Is.,National and provincial capital,"28089","7","Less than 50,000",UN_Data_2010_2020,"-9059550.596","2190287.624","34,921","2021","1","2","30",0.00,coast
"308",Panama,PAN-PAN,Panama,PM,Panama,National and provincial capital,"481993","4","250,000 to 499,999",UN_Data_2010_2020,"-8851800.698","1006345.652","1,132,969","2023","1","7","5",7.19,inland
"307",Colon,PAN-COL,Colon,PM,Panama,Provincial capital,"41019","7","Less than 50,000",UN_Data_2010_2020,"-8893909.522","1046064.739","159,157","2023","0","2","30",0.00,coast
"708",Bucharest,ROM-BUC,Bucuresti,RO,Romania,National and provincial capital,"1829897","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2907995.543","5532303.438","1,716,961","2021","1","7","5",276.20,inland
"714",Constanta,ROM-CNS,Constanta,RO,Romania,Provincial capital,"0","0",,,"3187188.161","5486047.819","263,688","2021","0","2","30",2.76,coast
"1555",Basseterre,KNA,St. Kitts & Nevis,SC,St. Kitts & Nevis,National capital,"0","0",,,"-6983294.027","1954958.331","11,400","2011","1","2","30",0.00,coast
"1584",Nuuk,GRL-VST,Vestgronland,GL,Greenland,National and provincial capital,"18128","7","Less than 50,000",UN_Data_2010_2020,"-5741859.189","9418965.687","19,872","2024","1","2","30",58.41,inland
